TIMESTAMP       |UID             |PUID            |EVENT_TYPE      |PROCESS_NAME    
1757704382      |578             |479             |1011            |7z              
1757658708      |725             |855             |803             |discord         
1757653874      |949             |991             |505             |chrome          
1757713681      |257             |522             |101             |youtube         
1757661574      |752             |452             |1003            |7z              
1757684607      |837             |779             |801             |discord         
1757676481      |841             |948             |210             |amazon          
1757650566      |411             |789             |501             |chrome          
1757682837      |696             |481             |110             |youtube         
1757692788      |223             |118             |801             |discord         
1757696918      |241             |22              |1004            |7z              
1757686646      |266             |456             |408             |spotify         
1757714832      |921             |108             |108             |youtube         
1757650036      |263             |405             |805             |discord         
1757714440      |838             |39              |901             |123milhas       
1757655798      |943             |699             |705             |slack           
1757687708      |544             |637             |302             |netflix         
1757715150      |856             |769             |107             |youtube         
1757698515      |702             |739             |203             |amazon
